Title,Summary,PublicationDate,Source,URL,Category
"Helicopter pilot who crashed into a hotel had drunk a ‘significant amount of alcohol,’ report finds","A pilot who died when he crashed a helicopter into a hotel in Australia had “significant blood alcohol content” during the unauthorized flight, according to an official report into the incident.",2024-10-09,CNN,https://www.cnn.com/2024/10/09/australia/helicopter-crash-cairns-alcohol-intl-hnk/index.html,australia
"Look of the Week: Meghan, Duchess of Sussex’s striking red gown, worn at a charity gala on Saturday, isn’t entirely new","There’s not much that is relatable about Meghan, Duchess of Sussex: from her rise to British royal notoriety to her achingly aspirational lifestyle brand, American Riviera Orchard. But on Saturday, a rare opportunity for connection presented itself when Meghan arrived at the Children’s Hospital Los Angeles 2024 Gala in a red Carolina Herrera dress she had previously worn in 2021.",2024-10-07,CNN,https://www.cnn.com/2024/10/07/style/meghan-markle-gala-red-dress/index.html,style
‘Hotel in nature’: Inside the world’s best new skyscraper,"Tropical plants creep up vast structural columns and dangle from ledges, hundreds of feet above the ground. Guests lounge around a lagoon-like swimming pool nestled away from the scorching midday sun. A series of soaring terraces sit within the tower’s frame, like caverns carved into a mountainside.",2024-10-06,CNN,https://www.cnn.com/2024/10/06/style/singapore-pan-pacific-orchard-hotel-intl-hnk/index.html,style
Jürgen Klopp to become Red Bull’s global head of soccer in first job since leaving Liverpool,Jürgen Klopp was announced as the global head of soccer for the Red Bull group on Wednesday in what will be his first job since leaving Premier League giant Liverpool earlier this year.,2024-10-09,CNN,https://www.cnn.com/2024/10/09/sport/jurgen-klopp-red-bull-liverpool-spt-intl/index.html,sport
Republicans are challenging all aspects of mail-in voting in battleground states,"After mail-in and absentee voting reached new levels in the 2020 election during the Covid-19 pandemic, a wave of lawsuits over the popular vote-casting methods this year is laying the groundwork for potential challenges to the outcome of the November presidential election.",2024-10-08,CNN,https://www.cnn.com/2024/10/08/politics/mail-in-ballot-republican-lawsuits-battleground-states/index.html,politics
Australian Prime Minister Anthony Albanese apologizes for ‘hurtful’ Tourette’s syndrome jibe,Australian Prime Minister Anthony Albanese has apologized after using an ableist slur to taunt political opponents in parliament.,2024-10-09,CNN,https://www.cnn.com/2024/10/09/australia/australia-anthony-albanese-tourettes-apology-scli-intl/index.html,australia
Lasers could take broadband where fiber optics can’t,"In the internet industry, it’s known as the “last-mile” problem: Millions of people and businesses around the world aren’t able to access broadband because they’re missing the final leg of a broadband network, which connects the user to the backbone of the internet.",2024-10-09,CNN,https://www.cnn.com/2024/10/09/tech/lasers-fso-internet-attochron-spc/index.html,tech
"For some riding out Milton along Florida’s west coast, ‘the alternatives weren’t too inviting’","With the rain already slicing diagonals into the water off this transformed mangrove island in St. Petersburg, Vivienne Marran stood firm in her choice.",2024-10-09,CNN,https://www.cnn.com/2024/10/09/us/florida-hurricane-milton-evacuation-stay/index.html,us
Biden and Harris step up public engagement about the dangers of Hurricane Milton,"As Hurricane Milton barrels toward Florida, President Joe Biden and Vice President Kamala Harris have forcefully warned Americans multiple times on Wednesday about what the president is calling “the storm of the century.”",2024-10-09,CNN,https://www.cnn.com/2024/10/09/politics/biden-harris-hurricane-milton-response/index.html,politics
Auction house withdraws shrunken heads and other human remains from sale following outcry,"An auction house in England has withdrawn human remains, including shrunken heads and ancestral skulls, from sale following an outcry.",2024-10-09,CNN,https://www.cnn.com/2024/10/09/style/auction-house-shrunken-heads-intl-scli-gbr/index.html,style
Ariana Grande tells dejected ‘SNL’ cast that she doesn’t want to do ‘Wicked’ skits in hilarious promo,Ariana Grande would like to get a few things straight before she returns to host “Saturday Night Live” this weekend.,2024-10-09,CNN,https://www.cnn.com/2024/10/09/entertainment/ariana-grande-snl-promo-wicked/index.html,entertainment
Elon Musk’s X cleared to resume service in Brazil after it obeys court orders,"Brazil’s Supreme Court cleared X to resume service in the country Tuesday, after the social media platform reversed course and started complying with court rulings that billionaire owner Elon Musk had previously vowed to resist.",2024-10-09,CNN,https://www.cnn.com/2024/10/09/tech/musk-x-resume-service-brazil/index.html,tech
Inside the White House’s desperate scramble to swat down hurricane misinformation,"In the aftermath of Hurricane Helene, senior Biden administration officials raced to engage in a round-the-clock effort to respond to what appeared to be an unprecedented amount of misinformation circling about the storm and the federal response to it.",2024-10-09,CNN,https://www.cnn.com/2024/10/09/politics/white-house-hurricane-helene-misinformation/index.html,politics
What the 1960 election can teach us about the peaceful transfer of power,"The 1960 presidential election changed everything. It was the first to feature televised debates between the two major-party candidates. It was the first in which both candidates were born in the 20th century. And as is true in the current presidential campaign, the 1960 candidates were both fascinating characters.",2024-10-06,CNN,https://www.cnn.com/2024/10/06/politics/1960-election-nixon-transfer-of-power/index.html,politics
Rafael Nadal announces his upcoming retirement from tennis,Tennis legend Rafael Nadal has announced his upcoming retirement from the sport after a glittering career in which he amassed 22 grand slam titles.,2024-10-10,CNN,https://www.cnn.com/2024/10/10/sport/rafael-nadal-tennis-retirement-spt-intl/index.html,sport
Are ‘manfluencers’ raising our sons?,"My 17-year-old son had his headphones off, unlike a teenager, and was watching a YouTube video, very much like a teenager. That’s when I heard the words Andrew Tate, and my ears perked up.",2024-10-09,CNN,https://www.cnn.com/2024/10/09/health/manfluencers-raising-sons-wellness/index.html,health
Scientists who used AI to ‘crack the code’ of almost all proteins win Nobel Prize in chemistry,"The 2024 Nobel Prize in chemistry has been awarded to a trio of scientists who used artificial intelligence to “crack the code” of almost all known proteins, the “chemical tools of life.”",2024-10-09,CNN,https://www.cnn.com/2024/10/09/science/nobel-prize-chemistry-proteins-baker-hassabis-jumper-intl/index.html,science
"Who is Hashem Safieddine, rumored to be the next Hezbollah chief?",The fate of a possible successor to Hezbollah leader Hassan Nasrallah is unclear following an Israeli airstrike on Beirut.,2024-10-04,CNN,https://www.cnn.com/2024/10/04/middleeast/hashem-safieddine-hezbollah-profile-intl/index.html,middleeast
"A$AP Rocky, Pharrell, Lewis Hamilton and Colman Domingo will co-chair a historic Met Gala","Though often underappreciated, menswear has been undergoing a renaissance on red carpets and runways. Next year, a landmark exhibition on Black suiting and sartorial codes will serve as the inspiration for fashion’s biggest night out.",2024-10-09,CNN,https://www.cnn.com/2024/10/09/style/met-gala-costume-institute-exhibition-2025/index.html,style
European spacecraft launches for ‘crash scene investigation’ of first planetary defense test,"A European spacecraft and two shoebox-size satellites have launched to survey the aftermath from NASA’s DART mission, which intentionally slammed into an asteroid named Dimorphos and altered its orbit two years ago.",2024-10-07,CNN,https://www.cnn.com/2024/10/07/science/hera-mission-launch-dart/index.html,science
Talks between Boeing and the machinists union break down as strike nears the one-month mark,"Boeing and the union that represents 33,000 striking employees at the company say talks between the two have broken down and no new talks are scheduled.",2024-10-08,CNN,https://www.cnn.com/2024/10/08/business/boeing-strike-union-talks-break-down/index.html,business
Jessica Campbell makes history and becomes first ever female assistant coach in the NHL,Jessica Campbell made history on the opening night of the National Hockey League (NHL) season by becoming the first ever female assistant coach in the league.,2024-10-08,CNN,https://www.cnn.com/2024/10/08/sport/jessica-campbell-history-female-coach-nhl-spt-intl/index.html,sport
This is the world’s smallest Rubik’s Cube. And it actually works,Japanese toymaker MegaHouse has unveiled a miniature Rubik’s Cube — one so tiny that you might need a pair of tweezers to solve it.,2024-10-04,CNN,https://www.cnn.com/2024/10/04/style/japan-worlds-smallest-rubik-cube-intl-hnk/index.html,style
Disney prices just went up again. Here’s how to get a discount,"Disneyland fans woke up Wednesday morning to find about a 6% price increase on most park tickets and a price increase between 6% to 20% on annual passes, known as Magic Keys, for Disney’s original resort in California.",2024-10-09,CNN,https://www.cnn.com/2024/10/09/travel/disneyland-price-increases-finding-savings/index.html,travel
"Nearly 2,000 Florida gas stations have run out of fuel. Hurricane Milton could cause even more trouble","Gas stations in many areas of Florida are running out of gasoline, as residents prepare for Hurricane Milton.",2024-10-08,CNN,https://www.cnn.com/2024/10/08/business/hurricane-milton-florida-gasoline-shortages/index.html,business
Your showerhead and toothbrush are teeming with viruses. But don’t panic – these microbes could save lives,"The warm, damp environments of your showerhead and toothbrush are the perfect breeding ground for microbes, and a new study has identified hundreds of viruses that live there, showing the vast biodiversity to be found in the average home.",2024-10-09,CNN,https://www.cnn.com/2024/10/09/science/showerhead-toothbrush-viruses-phages-intl-scli/index.html,science
"Covid-19 may increase the risk of heart attacks, strokes and deaths for three years after an infection, study suggests","Covid-19 could be a powerful risk factor for heart attacks and strokes for as long as three years after an infection, a large new study suggests.",2024-10-09,CNN,https://www.cnn.com/2024/10/09/health/covid-heart-attack-stroke-risk/index.html,health
How horses can soothe the soul and help your mental health,"Every October, World Mental Health Day tries to expand the conversation around mental health and brings awareness to the many ways you can improve your emotional well-being. When it comes to mental health, the solution is multi-faceted.",2024-10-10,CNN,https://www.cnn.com/2024/10/10/health/equine-assisted-psychotherapy-mental-health-wellness-iyw/index.html,health
"Ratan Tata, Indian tycoon who took his empire global, dead at 86","Ratan Tata, the former chairman of Indian conglomerate Tata Group, has died at the age of 86, according to a statement from the firm.",2024-10-09,CNN,https://www.cnn.com/2024/10/09/business/ratan-tata-death/index.html,business
Devastation from Hurricane Helene could bring semiconductor chipmaking to a halt,The devastation in North Carolina in the wake of Hurricane Helene could have serious implications for a niche — but extremely important — corner of the tech industry.,2024-10-02,CNN,https://www.cnn.com/2024/10/02/tech/semiconductor-supply-chain-north-carolina-helene/index.html,tech
A severe geomagnetic storm could cause colorful auroras over Northern California and Alabama,"Colorful auroras could be visible in areas of the United States such as Alabama and Northern California — much farther south than they typically appear — on Thursday evening due to a powerful solar flare and coronal mass ejection released from the sun, according to the National Weather Service’s Space Weather Prediction Center.",2024-10-09,CNN,https://www.cnn.com/2024/10/09/science/solar-storm-aurora-power-gps/index.html,science
"When a massive asteroid wiped out the dinosaurs, ants began farming fungi","You have probably seen leaf-cutter ants carrying bits of plants, maybe in a nature documentary, at a science museum or in the “Circle of Life” song at the beginning of the 1994 Disney animated film “The Lion King.”",2024-10-04,CNN,https://www.cnn.com/2024/10/04/science/ants-fungi-farming-asteroid-study/index.html,science
"Sean ‘Diddy’ Combs spending his time in jail preparing for his case and visiting with family, source says","Sean “Diddy” Combs has spent his three weeks in jail speaking with his defense attorneys, preparing for his case and receiving visiting from his family, a source close to the music producer told CNN.",2024-10-10,CNN,https://www.cnn.com/2024/10/10/entertainment/sean-diddy-combs-jail-trial-updates/index.html,entertainment
Large French ski resort to close as snow shortage leaves it struggling to build a future,A large French alpine ski resort faced with declining snowfalls is to close after it failed to find funds to turn its pistes into year-round attractions.,2024-10-09,CNN,https://www.cnn.com/2024/10/09/travel/alpe-du-grande-serre-france-ski-resort-closes-climate-crisis/index.html,travel
Denver Nuggets head coach Michael Malone says he isn’t taking Nikola Jokić’s ‘greatness’ for granted heading into new season,The chance to win an NBA title doesn’t come around very often.,2024-10-09,CNN,https://www.cnn.com/2024/10/09/sport/denver-nuggets-michael-malone-nikola-jokic-greatness-nba-spt-intl/index.html,sport
"‘Zionists don’t deserve to live,’ suspended Columbia activist said. Now his group rescinds its apology and calls for violence","Nearly six months after Columbia University banned Khymani James, a Pro-Palestinian student activist, who said “Zionists don’t deserve to live,” the coalition that had apologized on his behalf rescinded its statement of regret – and advocated for armed resistance against Israel.",2024-10-09,CNN,https://www.cnn.com/2024/10/09/us/columbia-pro-palestine-group-apology/index.html,us
‘Our dreams were falling down the mountain’: American and British climbers stranded in the Himalayas for three days,Fay Manners and Michelle Dvorak were perched high on the snowy face of a Himalayan mountain when disaster struck their quest to become the first to summit its peak.,2024-10-09,CNN,https://www.cnn.com/2024/10/09/india/american-british-climbers-himalaya-rescue-hnk-intl/index.html,india
‘Godfather of AI’ shares Nobel Prize in physics for work on machine learning,"The 2024 Nobel Prize in physics has been awarded to John Hopfield and Geoffrey Hinton for their fundamental discoveries in machine learning, which paved the way for how artificial intelligence is used today.",2024-10-08,CNN,https://www.cnn.com/2024/10/08/science/nobel-prize-physics-hopfield-hinton-machine-learning-intl/index.html,science
CDC will start screening travelers from Rwanda to the US for Marburg virus,"Amid an outbreak of Marburg virus in Rwanda, travelers coming into the United States who have been in Rwanda in the previous 21 days will be screened starting next week, the US Department of Health and Human Services announced Monday.",2024-10-07,CNN,https://www.cnn.com/2024/10/07/health/cdc-marburg-rwanda-screening/index.html,health
"Common heart conditions raise the risk of dementia, experts say","Keeping your brain sharp as you age has a lot to do with your heart — and the younger you start taking better care of it, the better — according to a new scientific statement published Thursday by the American Heart Association.",2024-10-10,CNN,https://www.cnn.com/2024/10/10/health/heart-dementia-risk-wellness/index.html,health
The Nobel committee just entered the AI chat,"This week, the Nobel prizes for physics and chemistry both featured work on the development and application of artificial intelligence. (Trendy choice? Absolutely. Serious choice? Also yes.)",2024-10-10,CNN,https://www.cnn.com/2024/10/10/business/nobel-prize-ai-nightcap/index.html,business
Senate candidate Dave McCormick led hedge fund that bet against some of Pennsylvania’s most iconic companies,"In the years that Pennsylvania Senate candidate Dave McCormick led one of the world’s largest hedge funds, the firm bet millions of dollars  against some of the state’s biggest and most iconic companies, financial filings show.",2024-10-09,CNN,https://www.cnn.com/2024/10/09/politics/dave-mccormick-bridgewater-pennsylvania-invs/index.html,politics
A couple walked from opposite ends of China’s Great Wall and met in the middle. Then they broke up,"The Great Wall of China has inspired countless works of art in its more than 2,000-year history. Among the most famous is “The Great Wall Walk,” a dramatic 90-day performance that saw lovers Marina Abramović and Frank Uwe Laysiepen (the late German artist known as Ulay) trek towards each other from opposite ends of the landmark.",2024-10-09,CNN,https://www.cnn.com/2024/10/09/style/marina-abramovic-great-wall-shanghai-exhibition-intl-hnk/index.html,style
Elon Musk is promising to unveil the future of Tesla tonight,Elon Musk and Tesla have pledged a game-changing moment in the company’s history Thursday night. It remains to be seen if they will actually deliver.,2024-10-10,CNN,https://www.cnn.com/2024/10/10/business/elon-musk-tesla-robotaxi-event/index.html,business
Minnesota Lynx defeat Connecticut Sun to book record seventh WNBA Finals appearance,"The Minnesota Lynx prevailed in a winner-takes-all Game 5 of the WNBA semifinals against the Connecticut Sun on Tuesday. With the 88-77 victory, the Lynx set a date with the New York Liberty in the WNBA Finals.",2024-10-09,CNN,https://www.cnn.com/2024/10/09/sport/minnesota-lynx-connecticut-sun-wnba-spt-intl/index.html,sport
